file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
RES0060	31.43	31.43	0	0	0	34	36	34	36	1	1	1	1	8	13	8	13
RES0061	22.32	22.38	1	0	0	40	42	40	42	3	3	3	3	16	19	16	19
RES0062	19.53	19.53	0	0	0	38	38	38	38	4	4	4	4	18	25	18	25
RES0063	18.74	18.74	0	0	0	34	34	34	34	3	3	3	3	17	24	17	24
RES0064	28.33	28.33	0	0	0	38	38	38	38	3	3	3	3	3	15	3	15
RES0065	14.98	14.98	2	0	0	32	32	32	32	1	1	1	1	7	9	7	9
RES0066	27.90	27.90	0	0	0	35	35	35	35	4	4	4	4	10	11	10	11
RES0067	37.00	37.00	0	0	0	15	15	15	15	2	6	2	6	7	12	7	12
RES0068	24.75	24.75	2	0	0	33	35	34	35	4	4	4	4	12	15	12	15
RES0069	32.44	32.44	0	0	0	32	33	32	33	5	5	5	5	2	2	2	2
RES0070	33.37	33.37	1	0	0	33	43	34	43	2	2	2	2	5	5	5	5
RES0071	19.36	19.36	0	0	0	29	29	29	29	1	1	1	1	5	5	5	5
RES0072	35.89	35.81	1	0	0	34	34	34	34	1	1	1	1	6	11	6	11
RES0073	17.08	17.16	1	0	0	44	45	45	45	2	2	2	2	6	9	6	9
RES0074	17.41	17.49	2	0	1	33	39	34	39	1	1	1	1	10	19	10	19
RES0075	16.10	16.10	0	0	0	34	37	34	37	3	3	3	3	2	8	2	8
RES0076	22.94	23.07	2	0	0	25	25	25	25	4	5	4	5	21	25	21	25
RES0077	15.21	15.21	0	0	0	24	24	24	24	4	4	4	4	17	17	17	17
RES0078	17.63	17.54	2	0	0	41	42	42	42	4	4	4	4	8	11	8	11
RES0079	25.48	25.72	2	0	0	24	24	24	24	2	2	2	2	7	10	7	10
