subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	azure	RES0061	1783	1701	211	362
benchmark_results_cloud_figshare-osce	azure	RES0070	976	946	77	134
benchmark_results_cloud_figshare-osce	azure	RES0054	2491	2446	683	749
benchmark_results_cloud_figshare-osce	azure	RES0069	1026	994	70	133
benchmark_results_cloud_figshare-osce	azure	RES0072	1182	1150	153	212
benchmark_results_cloud_figshare-osce	azure	RES0062	1965	1905	203	317
benchmark_results_cloud_figshare-osce	azure	RES0074	1246	1206	136	213
benchmark_results_cloud_figshare-osce	azure	RES0079	841	815	114	164
benchmark_results_cloud_figshare-osce	azure	RES0071	1301	1261	146	216
benchmark_results_cloud_figshare-osce	azure	RES0076	1569	1513	160	269
benchmark_results_cloud_figshare-osce	azure	RES0075	1112	1070	108	185
benchmark_results_cloud_figshare-osce	azure	RES0082	932	891	138	220
benchmark_results_cloud_figshare-osce	azure	RES0073	1340	1303	162	236
benchmark_results_cloud_figshare-osce	azure	RES0078	1140	1092	141	232
benchmark_results_cloud_figshare-osce	azure	RES0085	959	923	80	149
benchmark_results_cloud_figshare-osce	azure	RES0083	990	962	112	162
benchmark_results_cloud_figshare-osce	azure	RES0080	1225	1179	162	250
benchmark_results_cloud_figshare-osce	azure	RES0084	1562	1516	130	221
benchmark_results_cloud_figshare-osce	azure	RES0077	1649	1585	198	323
